Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Dairy Queen,78753,11/12/2013,96,"8728 N LAMAR BLVD
AUSTIN, TX 78753
(30.356352455128, -97.7021955369509)",2800159,Routine Inspection
Dairy Queen,78753,12/09/2014,90,"8728 N LAMAR BLVD
AUSTIN, TX 78753
(30.356352455128, -97.7021955369509)",2800159,Routine Inspection
Dairy Queen,78757,05/28/2014,100,"8300 BURNET RD
AUSTIN, TX 78757
(30.3632837190278, -97.7295339867186)",2800425,Routine Inspection
Dairy Queen,78745,06/02/2014,68,"2034 W STASSNEY LN
AUSTIN, TX 78745
(30.2164697765236, -97.7986578238327)",2800376,Routine Inspection
Dairy Queen,78723,09/30/2014,90,"5900 MANOR RD
AUSTIN, TX 78723
(30.3069446902685, -97.6803108808145)",2800852,Routine Inspection
Dairy Queen,78741,01/07/2015,80,"1501 TOWN CREEK DR
AUSTIN, TX 78741
(30.2418793759062, -97.7268191743657)",2800452,Routine Inspection
Dairy Queen,78750,02/10/2015,92,"12129 N FM 620 RD
AUSTIN, TX 78750
(30.4609843103889, -97.8169359958579)",2800713,Routine Inspection
Dairy Queen,78745,02/12/2013,81,"2034 W STASSNEY LN
AUSTIN, TX 78745
(30.2164697765236, -97.7986578238327)",2800376,Routine Inspection
Dairy Queen,78750,02/28/2014,96,"12129 N FM 620 RD
AUSTIN, TX 78750
(30.4609843103889, -97.8169359958579)",2800713,Routine Inspection
Dairy Queen,78745,03/18/2015,86,"2034 W STASSNEY LN
AUSTIN, TX 78745
(30.2164697765236, -97.7986578238327)",2800376,Routine Inspection
Dairy Queen,78757,03/18/2015,88,"8300 BURNET RD
AUSTIN, TX 78757
(30.3632837190278, -97.7295339867186)",2800425,Routine Inspection
Dairy Queen,78723,04/03/2014,86,"5900 MANOR RD
AUSTIN, TX 78723
(30.3069446902685, -97.6803108808145)",2800852,Routine Inspection
Dairy Queen,78753,04/11/2013,90,"8728 N LAMAR BLVD
AUSTIN, TX 78753
(30.356352455128, -97.7021955369509)",2800159,Routine Inspection
Dairy Queen,78723,04/14/2015,86,"5900 MANOR RD
AUSTIN, TX 78723
(30.3069446902685, -97.6803108808145)",2800852,Routine Inspection
Dairy Queen,78741,04/15/2013,86,"1501 TOWN CREEK DR
AUSTIN, TX 78741
(30.2418793759062, -97.7268191743657)",2800452,Routine Inspection
Dairy Queen,78753,04/28/2015,97,"8728 N LAMAR BLVD
AUSTIN, TX 78753
(30.356352455128, -97.7021955369509)",2800159,Routine Inspection
Dairy Queen,78757,05/06/2013,97,"8300 BURNET RD
AUSTIN, TX 78757
(30.3632837190278, -97.7295339867186)",2800425,Routine Inspection
Dairy Queen,78741,05/22/2014,89,"1501 TOWN CREEK DR
AUSTIN, TX 78741
(30.2418793759062, -97.7268191743657)",2800452,Routine Inspection
Dang Banh Mi,78757,09/15/2015,96,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.3730901015236, -97.7278551380303)",11158260,Routine Inspection
Dang Banh Mi,78757,05/29/2015,97,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.3730901015236, -97.7278551380303)",11158260,Routine Inspection
Dang Banh Mi,78757,02/11/2015,83,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.3730901015236, -97.7278551380303)",11158260,Routine Inspection
Dan's Hamburgers,78751,10/31/2014,96,"5602 N LAMAR BLVD
AUSTIN, TX 78751
(30.3248377009411, -97.7274663219051)",2800170,Routine Inspection
Dan's Hamburgers,78751,03/24/2014,94,"5602 N LAMAR BLVD
AUSTIN, TX 78751
(30.3248377009411, -97.7274663219051)",2800170,Routine Inspection
Dan's Hamburgers,78751,03/31/2015,93,"5602 N LAMAR BLVD
AUSTIN, TX 78751
(30.3248377009411, -97.7274663219051)",2800170,Routine Inspection
Dan's Hamburgers,78751,05/08/2013,70,"5602 N LAMAR BLVD
AUSTIN, TX 78751
(30.3248377009411, -97.7274663219051)",2800170,Routine Inspection
Dan's Hamburgers,78702,05/13/2014,79,"844 AIRPORT BLVD
AUSTIN, TX 78702
(30.2583759937109, -97.6936404317269)",2800380,Routine Inspection
Dan's Hamburgers,78702,05/20/2015,92,"844 AIRPORT BLVD
AUSTIN, TX 78702
(30.2583759937109, -97.6936404317269)",2800380,Routine Inspection
Dan's Hamburgers,78702,08/06/2013,82,"844 AIRPORT BLVD
AUSTIN, TX 78702
(30.2583759937109, -97.6936404317269)",2800380,Routine Inspection
Dan's Hamburgers,78751,10/12/2015,96,"5602 N LAMAR BLVD
AUSTIN, TX 78751
(30.3248377009411, -97.7274663219051)",2800170,Routine Inspection
Dan's Hamburgers,78702,12/17/2014,84,"844 AIRPORT BLVD
AUSTIN, TX 78702
(30.2583759937109, -97.6936404317269)",2800380,Routine Inspection
Dan's Hamburgers #2,78704,03/24/2014,90,"4308 MANCHACA RD
AUSTIN, TX 78704
(30.2307375410174, -97.7882154106028)",2800120,Routine Inspection
Dan's Hamburgers #2,78704,10/16/2015,90,"4308 MANCHACA RD
AUSTIN, TX 78704
(30.2307375410174, -97.7882154106028)",2800120,Routine Inspection
Dan's Hamburgers #2,78704,10/02/2014,93,"4308 MANCHACA RD
AUSTIN, TX 78704
(30.2307375410174, -97.7882154106028)",2800120,Routine Inspection
Dan's Hamburgers #2,78704,05/02/2013,97,"4308 MANCHACA RD
AUSTIN, TX 78704
(30.2307375410174, -97.7882154106028)",2800120,Routine Inspection
Dan's Hamburgers #2,78704,03/25/2015,80,"4308 MANCHACA RD
AUSTIN, TX 78704
(30.2307375410174, -97.7882154106028)",2800120,Routine Inspection
Dart Bowl Steak House,78756,03/28/2014,90,"5700 GROVER AVE
AUSTIN, TX 78756
(30.3291680791634, -97.731729465455)",2801126,Routine Inspection
Dart Bowl Steak House,78756,08/22/2013,91,"5700 GROVER AVE
AUSTIN, TX 78756
(30.3291680791634, -97.731729465455)",2801126,Routine Inspection
Dart Bowl Steak House,78756,07/31/2015,90,"5700 GROVER AVE
AUSTIN, TX 78756
(30.3291680791634, -97.731729465455)",2801126,Routine Inspection
Dart Bowl Steak House,78756,02/26/2015,100,"5700 GROVER AVE
AUSTIN, TX 78756
(30.3291680791634, -97.731729465455)",2801126,Routine Inspection
Dart Bowl Steak House,78756,10/03/2014,97,"5700 GROVER AVE
AUSTIN, TX 78756
(30.3291680791634, -97.731729465455)",2801126,Routine Inspection
Daruma,78701,11/03/2014,78,"612 E 6TH ST
AUSTIN, TX 78701
(30.2666304119332, -97.7364683331613)",10887645,Routine Inspection
Daruma,78701,04/28/2015,79,"612 E 6TH ST
AUSTIN, TX 78701
(30.2666304119332, -97.7364683331613)",10887645,Routine Inspection
Daruma,78701,02/21/2014,71,"612 E 6TH ST
AUSTIN, TX 78701
(30.2666304119332, -97.7364683331613)",10887645,Routine Inspection
Darwin's Pub,78701,03/13/2015,73,"223 E 6TH ST
AUSTIN, TX 78701
(30.2672045036697, -97.7406424444201)",2801918,Routine Inspection
Darwin's Pub,78701,11/05/2014,97,"223 E 6TH ST
AUSTIN, TX 78701
(30.2672045036697, -97.7406424444201)",2801918,Routine Inspection
Darwin's Pub,78701,09/10/2013,88,"223 E 6TH ST
AUSTIN, TX 78701
(30.2672045036697, -97.7406424444201)",2801918,Routine Inspection
Darwin's Pub,78701,07/14/2015,87,"223 E 6TH ST
AUSTIN, TX 78701
(30.2672045036697, -97.7406424444201)",2801918,Routine Inspection
Darwin's Pub,78701,03/04/2013,86,"223 E 6TH ST
AUSTIN, TX 78701
(30.2672045036697, -97.7406424444201)",2801918,Routine Inspection
Dave and Busters,78759,06/05/2015,86,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.3827296257002, -97.739656945292)",2801449,Routine Inspection
Dave and Busters,78759,06/20/2014,97,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.3827296257002, -97.739656945292)",2801449,Routine Inspection
Dave and Busters,78759,11/01/2013,77,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.3827296257002, -97.739656945292)",2801449,Routine Inspection
Dave and Busters,78759,11/27/2012,100,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.3827296257002, -97.739656945292)",2801449,Routine Inspection
Dave and Busters,78759,12/19/2014,91,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.3827296257002, -97.739656945292)",2801449,Routine Inspection
David's Food Store,78704,12/17/2012,93,"912 W MARY ST
AUSTIN, TX 78704
(30.2483586603571, -97.7616303675762)",2803612,Routine Inspection
David's Food Store,78704,12/20/2013,94,"912 W MARY ST
AUSTIN, TX 78704
(30.2483586603571, -97.7616303675762)",2803612,Routine Inspection
David's Food Store,78704,01/08/2015,94,"912 W MARY ST
AUSTIN, TX 78704
(30.2483586603571, -97.7616303675762)",2803612,Routine Inspection
David's Food Store,78704,06/17/2013,93,"912 W MARY ST
AUSTIN, TX 78704
(30.2483586603571, -97.7616303675762)",2803612,Routine Inspection
David's Food Store,78704,06/18/2014,100,"912 W MARY ST
AUSTIN, TX 78704
(30.2483586603571, -97.7616303675762)",2803612,Routine Inspection
David's Food Store,78704,07/20/2015,97,"912 W MARY ST
AUSTIN, TX 78704
(30.2483586603571, -97.7616303675762)",2803612,Routine Inspection
Davis Elementary,78727,04/17/2013,97,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417664092335, -97.741803920043)",2800189,Routine Inspection
Davis Elementary,78727,09/02/2015,95,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417664092335, -97.741803920043)",2800189,Routine Inspection
Davis Elementary,78727,09/25/2014,97,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417664092335, -97.741803920043)",2800189,Routine Inspection
Davis Elementary,78727,10/17/2013,97,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417664092335, -97.741803920043)",2800189,Routine Inspection
Davis Elementary,78727,03/06/2015,100,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417664092335, -97.741803920043)",2800189,Routine Inspection
Davis Elementary,78727,03/17/2014,97,"5214 DUVAL RD
AUSTIN, TX 78727
(30.417664092335, -97.741803920043)",2800189,Routine Inspection
Davod's Mediterranean Market,78729,07/07/2015,96,"13497 N US 183 HWY
AUSTIN, TX 78729
(30.4497794677302, -97.789904303428)",11169342,Routine Inspection
Davod's Mediterranean Market,78729,01/08/2015,96,"13497 N US 183 HWY
AUSTIN, TX 78729
(30.4497794677302, -97.789904303428)",11169342,Routine Inspection
Dawson Child Inc Child Development Center,78704,09/21/2015,95,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",11204859,Routine Inspection
Dawson Child Inc Child Development Center,78704,03/09/2015,95,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",11204859,Routine Inspection
Dawson Elementary,78704,02/27/2013,89,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",2800137,Routine Inspection
Dawson Elementary,78704,03/09/2015,100,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",2800137,Routine Inspection
Dawson Elementary,78704,03/03/2014,97,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",2800137,Routine Inspection
Dawson Elementary,78704,09/10/2013,100,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",2800137,Routine Inspection
Dawson Elementary,78704,09/21/2015,100,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",2800137,Routine Inspection
Dawson Elementary,78704,09/22/2014,100,"3001 S 1ST ST
AUSTIN, TX 78704
(30.2351675999271, -97.7638491587346)",2800137,Routine Inspection
Dearing Elementary School,78660,08/24/2015,100,"4301 GATTIS SCHOOL RD
PFLUGERVILLE, TX 78660
(30.4959329810939, -97.5938079881808)",11199110,Routine Inspection
Dearing Elementary School,78660,03/03/2015,100,"4301 GATTIS SCHOOL RD
PFLUGERVILLE, TX 78660
(30.4959329810939, -97.5938079881808)",11199110,Routine Inspection
Decker Lake Cafeteria,78724,10/19/2015,100,"8500 DECKER LN
AUSTIN, TX 78724
(30.3111842130198, -97.6156400059127)",2801728,Routine Inspection
Decker Lake Cafeteria,78724,10/06/2014,97,"8500 DECKER LN
AUSTIN, TX 78724
(30.3111842130198, -97.6156400059127)",2801728,Routine Inspection
Decker Lake Cafeteria,78724,09/06/2013,94,"8500 DECKER LN
AUSTIN, TX 78724
(30.3111842130198, -97.6156400059127)",2801728,Routine Inspection
Decker Lake Cafeteria,78724,04/08/2014,96,"8500 DECKER LN
AUSTIN, TX 78724
(30.3111842130198, -97.6156400059127)",2801728,Routine Inspection
Decker Lake Cafeteria,78724,03/26/2015,96,"8500 DECKER LN
AUSTIN, TX 78724
(30.3111842130198, -97.6156400059127)",2801728,Routine Inspection
Decker Lake Cafeteria,78724,02/28/2013,92,"8500 DECKER LN
AUSTIN, TX 78724
(30.3111842130198, -97.6156400059127)",2801728,Routine Inspection
Decker Middle School,78724,09/10/2013,100,"8104 DECKER LN
AUSTIN, TX 78724
(30.3074178003151, -97.6181393824531)",10189353,Routine Inspection
Decker Middle School,78724,03/24/2014,97,"8104 DECKER LN
AUSTIN, TX 78724
(30.3074178003151, -97.6181393824531)",10189353,Routine Inspection
Decker Middle School,78724,03/09/2015,97,"8104 DECKER LN
AUSTIN, TX 78724
(30.3074178003151, -97.6181393824531)",10189353,Routine Inspection
Decker Middle School,78724,02/28/2013,100,"8104 DECKER LN
AUSTIN, TX 78724
(30.3074178003151, -97.6181393824531)",10189353,Routine Inspection
Decker Middle School,78724,10/01/2014,100,"8104 DECKER LN
AUSTIN, TX 78724
(30.3074178003151, -97.6181393824531)",10189353,Routine Inspection
Decker Middle School,78724,09/04/2015,90,"8104 DECKER LN
AUSTIN, TX 78724
(30.3074178003151, -97.6181393824531)",10189353,Routine Inspection
Deep Eddy Food Plaza,78703,10/02/2015,100,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deep Eddy Food Plaza,78703,11/02/2015,97,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deep Eddy Food Plaza,78703,11/14/2013,91,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deep Eddy Food Plaza,78703,11/14/2014,97,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deep Eddy Food Plaza,78703,06/02/2014,97,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deep Eddy Food Plaza,78703,04/24/2015,100,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deep Eddy Food Plaza,78703,04/15/2013,97,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.2780126994689, -97.7732480156621)",2804063,Routine Inspection
Deerpark Middle School,78729,09/01/2015,100,"8849 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4528839411548, -97.7727305465371)",10538425,Routine Inspection
Deerpark Middle School,78729,04/29/2014,96,"8849 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4528839411548, -97.7727305465371)",10538425,Routine Inspection
Deerpark Middle School,78729,04/26/2013,95,"8849 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4528839411548, -97.7727305465371)",10538425,Routine Inspection
Deerpark Middle School,78729,02/24/2015,91,"8849 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4528839411548, -97.7727305465371)",10538425,Routine Inspection
Deerpark Middle School,78729,11/22/2013,100,"8849 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4528839411548, -97.7727305465371)",10538425,Routine Inspection
Deerpark Middle School,78729,10/10/2014,100,"8849 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4528839411548, -97.7727305465371)",10538425,Routine Inspection
Delaney's,78757,09/23/2014,100,"7849 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.3602335049248, -97.7403966043835)",10005117,Routine Inspection
Delaney's,78757,01/04/2013,97,"7849 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.3602335049248, -97.7403966043835)",10005117,Routine Inspection
Delaney's,78757,08/27/2015,100,"7849 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.3602335049248, -97.7403966043835)",10005117,Routine Inspection
Delaney's,78757,03/13/2014,100,"7849 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.3602335049248, -97.7403966043835)",10005117,Routine Inspection
Delaney's,78757,03/09/2015,97,"7849 SHOAL CREEK BLVD
AUSTIN, TX 78757
(30.3602335049248, -97.7403966043835)",10005117,Routine Inspection
Delaware Sub Shop #4,78705,01/21/2015,97,"1104 W 34TH ST
AUSTIN, TX 78705
(30.3034633609683, -97.7457295792629)",10455376,Routine Inspection
Delaware Sub Shop #4,78705,07/22/2014,78,"1104 W 34TH ST
AUSTIN, TX 78705
(30.3034633609683, -97.7457295792629)",10455376,Routine Inspection
Delaware Sub Shop #4,78705,07/16/2015,100,"1104 W 34TH ST
AUSTIN, TX 78705
(30.3034633609683, -97.7457295792629)",10455376,Routine Inspection
Delaware Sub Shop #4,78705,07/11/2013,97,"1104 W 34TH ST
AUSTIN, TX 78705
(30.3034633609683, -97.7457295792629)",10455376,Routine Inspection
Delaware Sub Shop #4,78705,01/31/2014,89,"1104 W 34TH ST
AUSTIN, TX 78705
(30.3034633609683, -97.7457295792629)",10455376,Routine Inspection
